date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:25	83570/83570	---M-Z	200	added ('OK')	text/html	etag:%2214672-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/index-2.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/index-2.html	(from )
09:22:28	237/237	---M--	302	error ('Found')	text/html	date:Fri,%2008%20Mar%202024%2004:22:31%20GMT	https://uena.dexignzone.com/robots.txt		(from )
09:22:28	406/406	---M--	200	added ('OK')	image/png	etag:%22196-5bbea951cfe80%22	https://uena.dexignzone.com/django/xhtml/images/favicon.png	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/favicon.png	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:29	11512/11512	---M--	200	added ('OK')	text/css	etag:%222cf8-60280fabca380%22	https://uena.dexignzone.com/django/xhtml/vendor/chartist/css/chartist.min.css	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/vendor/chartist/css/chartist.min.css	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:31	10722/10722	---M--	200	added ('OK')	text/css	etag:%2229e2-58dde99508380%22	https://uena.dexignzone.com/django/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:32	83313/83313	---M-Z	200	added ('OK')	text/html	etag:%2214571-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/index.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/index.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:34	6991/6991	---M--	200	added ('OK')	image/jpeg	etag:%221b4f-5bccab33ba700%22	https://uena.dexignzone.com/django/xhtml/images/avatar/1.jpg	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/avatar/1.jpg	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:34	10188/10188	---M--	200	added ('OK')	image/jpeg	etag:%2227cc-5bccab33ba700%22	https://uena.dexignzone.com/django/xhtml/images/avatar/2.jpg	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/avatar/2.jpg	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:35	162530/162530	---M--	200	added ('OK')	image/png	etag:%2227ae2-60aa32f3fbf5d%22	https://uena.dexignzone.com/django/social-image.png	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/social-image.png	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:35	9609/9609	---M--	200	added ('OK')	image/jpeg	etag:%222589-5bccab33ba700%22	https://uena.dexignzone.com/django/xhtml/images/avatar/3.jpg	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/avatar/3.jpg	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:40	8706/8706	---M--	200	added ('OK')	image/jpeg	etag:%222202-5bccab33ba700%22	https://uena.dexignzone.com/django/xhtml/images/avatar/4.jpg	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/avatar/4.jpg	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:42	11073/11073	---M--	200	added ('OK')	image/jpeg	etag:%222b41-5bccab33ba700%22	https://uena.dexignzone.com/django/xhtml/images/avatar/5.jpg	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/avatar/5.jpg	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:43	3886/3886	---M--	200	added ('OK')	image/jpeg	etag:%22f2e-5bccacaf4a680%22	https://uena.dexignzone.com/django/xhtml/images/profile/pic1.jpg	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/images/profile/pic1.jpg	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:44	91543/91543	---M-Z	200	added ('OK')	text/html	etag:%2216597-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/app-profile.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/app-profile.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:44	84689/84689	---M-Z	200	added ('OK')	text/html	etag:%2214ad1-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/email-inbox.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/email-inbox.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:44	7336/7336	---M-Z	200	added ('OK')	text/html	etag:%221ca8-611bc8bf6e000-gzip%22	https://uena.dexignzone.com/django/xhtml/login.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/login.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:45	90796/90796	---M-Z	200	added ('OK')	text/html	etag:%22162ac-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/orders-list.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/orders-list.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:45	73989/73989	---M-Z	200	added ('OK')	text/html	etag:%2212105-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/order-detail.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/order-detail.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:45	85483/85483	---M-Z	200	added ('OK')	text/html	etag:%2214deb-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/customer-list.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/customer-list.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:46	120565/120565	---M-Z	200	added ('OK')	text/html	etag:%221d6f5-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/analytics.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/analytics.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:47	82626/82626	---M-Z	200	added ('OK')	text/html	etag:%22142c2-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/reviews.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/reviews.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:47	72672/72672	---M-Z	200	added ('OK')	text/html	etag:%2211be0-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/post-details.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/post-details.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:48	63089/63089	---M-Z	200	added ('OK')	text/html	etag:%22f671-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/email-compose.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/email-compose.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:49	67552/67552	---M-Z	200	added ('OK')	text/html	etag:%22107e0-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/email-read.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/email-read.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:49	66162/66162	---M-Z	200	added ('OK')	text/html	etag:%2210272-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/app-calender.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/app-calender.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:50	1516242/1516242	---M--	200	added ('OK')	text/css	etag:%221722d2-604dc41b59780%22	https://uena.dexignzone.com/django/xhtml/css/style.css	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/css/style.css	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:50	71253/71253	---M-Z	200	added ('OK')	text/html	etag:%2211655-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-product-grid.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-product-grid.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:50	77825/77825	---M-Z	200	added ('OK')	text/html	etag:%2213001-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-product-list.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-product-list.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:51	68843/68843	---M-Z	200	added ('OK')	text/html	etag:%2210ceb-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-product-detail.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-product-detail.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:52	101854/101854	---M-Z	200	added ('OK')	text/html	etag:%2218dde-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-product-order.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-product-order.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:52	75444/75444	---M-Z	200	added ('OK')	text/html	etag:%22126b4-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-checkout.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-checkout.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:53	68696/68696	---M-Z	200	added ('OK')	text/html	etag:%2210c58-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-invoice.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-invoice.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:53	113642/113642	---M-Z	200	added ('OK')	text/html	etag:%221bbea-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/ecom-customers.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/ecom-customers.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
09:22:53	61700/61700	---M-Z	200	added ('OK')	text/html	etag:%22f104-611bcb015b380-gzip%22	https://uena.dexignzone.com/django/xhtml/chart-flot.html	D:/COMSATS/6th%20Semester/WEB/my_web/admin_panel/uena.dexignzone.com/django/xhtml/chart-flot.html	(from https://uena.dexignzone.com/django/xhtml/index-2.html)
